GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
projet-collaboratif,com.projet.projet_collaboratif.config,DataInitializer,0,40,1,1,0,12,1,2,0,2
projet-collaboratif,com.projet.projet_collaboratif,ProjetCollaboratifApplication,5,3,0,0,2,1,1,1,1,1
projet-collaboratif,com.projet.projet_collaboratif.model,Statut,0,21,0,0,0,4,0,1,0,1
projet-collaboratif,com.projet.projet_collaboratif.model,Projet,54,224,32,22,0,7,26,18,0,17
projet-collaboratif,com.projet.projet_collaboratif.model,Role,16,99,10,12,0,3,9,11,0,9
projet-collaboratif,com.projet.projet_collaboratif.model,Utilisateur,41,195,27,19,0,6,22,16,0,15
projet-collaboratif,com.projet.projet_collaboratif.model,Tache,70,290,43,27,0,9,35,21,0,21
projet-collaboratif,com.projet.projet_collaboratif.service,ProjetService,0,27,0,0,0,8,0,6,0,6
projet-collaboratif,com.projet.projet_collaboratif.service,TacheService,0,27,0,0,0,8,0,6,0,6
projet-collaboratif,com.projet.projet_collaboratif.service,UtilisateurService,14,92,2,2,3,22,4,10,2,10
projet-collaboratif,com.projet.projet_collaboratif.controller,ProjetController,0,59,0,0,0,15,0,7,0,7
projet-collaboratif,com.projet.projet_collaboratif.controller,TacheController,57,17,0,0,12,5,4,4,4,4
projet-collaboratif,com.projet.projet_collaboratif.controller,UtilisateurController,0,67,0,0,0,17,0,7,0,7
